"","Season","SUMGROUP","Basin","All_Bio_SUM","All_Den_SUM","All_Bio_MEAN","All_Den_MEAN","All_Bio_SD","All_Den_SD","N","All_Bio_SE","All_Den_SE"
"1","Early Fall","BOSMINID","E",194223.46792,116675.088121,97111.73396,58337.5440605,33871.6183004351,8146.43617168239,2,23950.85099,5760.4002595
"2","Early Fall","BOSMINID","W",215927.10528,131168.06468,107963.55264,65584.03234,4892.68212672858,27.5959027959716,2,3459.64871,19.5132499999963
"3","Early Fall","CALANOID","E",591560.574324,108470.731154,295780.287162,54235.365577,62975.5719401764,11357.8445500457,2,44530.453968,8031.208901
"4","Early Fall","CALANOID","W",396278.420779,93546.519192,198139.2103895,46773.259596,79925.4084137967,17578.5898434493,2,56515.7982785,12429.940082
"5","Early Fall","CYCLOPOID","E",684343.8284,428258.86511,342171.9142,214129.432555,48120.6923838327,46419.8894824917,2,34026.4679,32823.818635
"6","Early Fall","CYCLOPOID","W",268290.20973,146934.77044,134145.104865,73467.38522,15020.9242615054,2069.69268141398,2,10621.397405,1463.49372999999
"7","Early Fall","DAPHNID","E",763864.026986,152094.590333,381932.013493,76047.2951665,472904.276417596,73749.2480923362,2,334393.820707,52148.5934335
"8","Early Fall","DAPHNID","W",951459.877293,203250.009204,475729.9386465,101625.004602,370940.777153008,55412.5720761019,2,262294.7389435,39182.605478
"9","Early Fall","LIMNO","E",0,0,0,0,0,0,2,0,0
"10","Early Fall","LIMNO","W",506.951889,1040.706652,253.4759445,520.353326,358.46911844723,735.890730855148,2,253.4759445,520.353326
"11","Early Fall","NDAP","E",15591.87784,4779.740346,7795.93892,2389.870173,11025.1225520963,3379.78681096753,2,7795.93892,2389.870173
"12","Early Fall","NDAP","W",41093.121737,16482.191604,20546.5608685,8241.095802,23254.1975681633,8711.10652858378,2,16443.2007915,6159.682498
"13","Early Spring","BOSMINID","E",1212.22699233,820.1587942,303.0567480825,205.03969855,548.59522846166,333.76864809407,4,274.29761423083,166.884324047035
"14","Early Spring","BOSMINID","W",433.25332487,429.377009081,108.3133312175,107.34425227025,80.6797731324697,64.5533316670591,4,40.3398865662349,32.2766658335295
"15","Early Spring","CALANOID","E",118371.91704589,13981.88140182,29592.9792614725,3495.470350455,13296.1922896198,2295.55695679987,4,6648.09614480989,1147.77847839993
"16","Early Spring","CALANOID","W",147846.80978216,17627.978035701,36961.70244554,4406.99450892525,19741.627763983,939.575202522643,4,9870.81388199148,469.787601261322
"17","Early Spring","CYCLOPOID","E",165850.924518635,53005.65248102,41462.7311296588,13251.413120255,19063.3722509347,6879.00403490727,4,9531.68612546733,3439.50201745364
"18","Early Spring","CYCLOPOID","W",107659.425279641,22807.28060822,26914.8563199103,5701.820152055,14876.1556524458,2533.03251052821,4,7438.07782622292,1266.5162552641
"19","Early Spring","DAPHNID","E",704.5260643,922.6004826,176.131516075,230.65012065,352.26303215,461.3002413,4,176.131516075,230.65012065
"20","Early Spring","DAPHNID","W",505.54170079,316.030696681,126.3854251975,79.00767417025,75.395393507448,41.9085927697622,4,37.697696753724,20.9542963848811
"21","Early Spring","LIMNO","E",37295.073754,664.15313262,9323.7684385,166.038283155,8170.1071760011,137.968666454478,4,4085.05358800055,68.9843332272389
"22","Early Spring","LIMNO","W",58100.28078392,1240.52044409,14525.07019598,310.1301110225,9863.58611376768,180.001299530244,4,4931.79305688384,90.0006497651218
"23","Early Spring","NDAP","E",0,0,0,0,0,0,4,0,0
"24","Early Spring","NDAP","W",0,0,0,0,0,0,4,0,0
"25","Early Summer","BOSMINID","E",78674.121468,60796.966566,19668.530367,15199.2416415,20317.9297944327,15866.5321271438,4,10158.9648972164,7933.26606357189
"26","Early Summer","BOSMINID","W",81665.631785,54545.8655435,27221.8772616667,18181.9551811667,41391.8453732376,28233.9088621255,3,23897.5930684941,16300.8548818235
"27","Early Summer","CALANOID","E",365296.060115,97396.28671,91324.01502875,24349.0716775,45122.6916717575,6071.20027149572,4,22561.3458358787,3035.60013574786
"28","Early Summer","CALANOID","W",668910.950165,170452.3338135,222970.316721667,56817.4446045,48921.5307896028,15602.4856359554,3,28244.8589705457,9008.09928194613
"29","Early Summer","CYCLOPOID","E",2933846.0907,1310524.62356,733461.522675,327631.15589,379089.718268944,98821.3126331301,4,189544.859134472,49410.656316565
"30","Early Summer","CYCLOPOID","W",1050645.19419,469310.59506,350215.06473,156436.86502,212435.684410688,80471.2522300928,3,122649.799579993,46460.0991370704
"31","Early Summer","DAPHNID","E",37409.480277,11828.926597,9352.37006925,2957.23164925,8882.73927896609,2753.84026353373,4,4441.36963948305,1376.92013176686
"32","Early Summer","DAPHNID","W",35940.168515,7305.0964586,11980.0561716667,2435.03215286667,10473.6710468201,2319.67896653822,3,6046.97679828515,1339.26727576436
"33","Early Summer","LIMNO","E",759469.74082,14169.04611,189867.435205,3542.2615275,158515.685336377,3069.3278836461,4,79257.8426681884,1534.66394182305
"34","Early Summer","LIMNO","W",856202.7258,17883.542604,285400.9086,5961.180868,226150.424969007,5843.75582603641,3,130568.008733205,3373.89399924056
"35","Early Summer","NDAP","E",5152.593013,1408.851242,1288.14825325,352.2128105,2576.2965065,704.425621,4,1288.14825325,352.2128105
"36","Early Summer","NDAP","W",0,0,0,0,0,0,3,0,0
"37","Late Spring","BOSMINID","E",856.4790502,331.0786195,214.11976255,82.769654875,352.270106471125,95.5917114411214,4,176.135053235562,47.7958557205607
"38","Late Spring","BOSMINID","W",1467.643959,1375.884928,366.91098975,343.971232,733.8219795,687.942464,4,366.91098975,343.971232
"39","Late Spring","CALANOID","E",233022.5194028,38935.65419374,58255.6298507,9733.913548435,34924.9031588801,4257.17230053555,4,17462.4515794401,2128.58615026777
"40","Late Spring","CALANOID","W",288224.9272068,115815.6270638,72056.2318017,28953.90676595,24475.0281793909,11649.9297486224,4,12237.5140896954,5824.96487431119
"41","Late Spring","CYCLOPOID","E",555346.802885,110860.870813,138836.70072125,27715.21770325,79326.0343509888,13800.346422282,4,39663.0171754944,6900.17321114098
"42","Late Spring","CYCLOPOID","W",1483481.7170282,191694.7125616,370870.42925705,47923.6781404,399671.711905158,51130.5517395061,4,199835.855952579,25565.275869753
"43","Late Spring","DAPHNID","E",128.9592883,180.6887275,32.239822075,45.172181875,64.47964415,90.34436375,4,32.239822075,45.172181875
"44","Late Spring","DAPHNID","W",0,0,0,0,0,0,4,0,0
"45","Late Spring","LIMNO","E",224601.32047,12835.0598634,56150.3301175,3208.76496585,39429.8033925985,1249.69855019689,4,19714.9016962992,624.849275098444
"46","Late Spring","LIMNO","W",684252.29546,35988.5963614,171063.073865,8997.14909035,198096.175462245,6428.98407099113,4,99048.0877311225,3214.49203549557
"47","Late Spring","NDAP","E",0,0,0,0,0,0,4,0,0
"48","Late Spring","NDAP","W",0,0,0,0,0,0,4,0,0
"49","Late Summer","BOSMINID","E",156316.140853,123694.8465993,39079.03521325,30923.711649825,12664.0035522001,13869.4393927927,4,6332.00177610007,6934.71969639633
"50","Late Summer","BOSMINID","W",394162.464104,236426.049607,98540.616026,59106.51240175,103836.493949652,56883.9390136886,4,51918.2469748259,28441.9695068443
"51","Late Summer","CALANOID","E",684376.7024568,179888.6134839,171094.1756142,44972.153370975,92657.6303471218,28775.5889270546,4,46328.8151735609,14387.7944635273
"52","Late Summer","CALANOID","W",627775.144157,97757.3127432,156943.78603925,24439.3281858,120013.918730811,13068.7023405658,4,60006.9593654053,6534.35117028291
"53","Late Summer","CYCLOPOID","E",2914430.2425,1667625.69749,728607.560625,416906.4243725,492965.450563177,280072.009468093,4,246482.725281588,140036.004734047
"54","Late Summer","CYCLOPOID","W",1292258.07265,779258.63926,323064.5181625,194814.659815,141943.630829921,77545.8119954446,4,70971.8154149606,38772.9059977223
"55","Late Summer","DAPHNID","E",1054811.1164837,262388.4408139,263702.779120925,65597.110203475,124680.638576041,24962.3901472015,4,62340.3192880203,12481.1950736007
"56","Late Summer","DAPHNID","W",1527091.5775935,350352.4880933,381772.894398375,87588.122023325,268893.793431612,46525.6473408584,4,134446.896715806,23262.8236704292
"57","Late Summer","LIMNO","E",42728.826072,1090.4701718,10682.206518,272.61754295,15957.0832132629,442.312369975948,4,7978.54160663144,221.156184987974
"58","Late Summer","LIMNO","W",71948.56227,1388.680382,17987.1405675,347.1700955,35974.281135,694.340191,4,17987.1405675,347.1700955
"59","Late Summer","NDAP","E",164079.077279,57699.810433,41019.76931975,14424.95260825,78966.0941611854,27295.2148400298,4,39483.0470805927,13647.6074200149
"60","Late Summer","NDAP","W",68801.3844379,40686.4064655,17200.346109475,10171.601616375,15304.193729046,6570.65095512718,4,7652.09686452301,3285.32547756359
"61","Summer","BOSMINID","W",43517.885206,24596.2293198,10879.4713015,6149.05732995,6048.73355004726,3829.21640627668,4,3024.36677502363,1914.60820313834
"62","Summer","CALANOID","W",618662.34284,95877.9086136,154665.58571,23969.4771534,147752.133286427,21181.8700173146,4,73876.0666432136,10590.9350086573
"63","Summer","CYCLOPOID","W",682065.4695,356154.597348,170516.367375,89038.649337,60748.0688284975,42558.2588108065,4,30374.0344142487,21279.1294054032
"64","Summer","DAPHNID","W",880980.199176,150458.292618,220245.049794,37614.5731545,273789.96936568,52661.9140735727,4,136894.98468284,26330.9570367864
"65","Summer","LIMNO","W",3798337.614504,58100.0424888,949584.403626,14525.0106222,710182.442977221,10883.347267042,4,355091.221488611,5441.67363352098
"66","Summer","NDAP","W",6371.0936788,3126.8641158,1592.7734197,781.71602895,2919.18938233867,1014.4908056544,4,1459.59469116933,507.2454028272
