"","SUMGROUP","Season","All_Bio_SUM","All_Den_SUM","All_Bio_MEAN","All_Den_MEAN","All_Bio_SD","All_Den_SD","N","All_Bio_SE","All_Den_SE"
"1","BOSMINID","Early Fall",16.162309758,8.888140878,1.154450697,0.634867205571429,0.707227294162064,0.413779379012864,14,0.189014444952117,0.11058719071273
"2","BOSMINID","Early Spring",0.028476059,0.029216631,0.003559507375,0.003652078875,0.00320544107224593,0.00330858949160689,8,0.00113329455943949,0.00116976303283889
"3","BOSMINID","Early Summer",70.642550302,55.68360185,2.27879194522581,1.79624522096774,5.08970731085982,3.89302968370425,31,0.914138418794863,0.699208772140902
"4","BOSMINID","Late Fall",3.346131744,1.968051896,0.836532936,0.492012974,0.607832246901992,0.314722470410388,4,0.303916123450996,0.157361235205194
"5","BOSMINID","Late Spring",0.354495687,0.232659736,0.01107799021875,0.00727061675,0.0218015777496324,0.0143366627993358,32,0.00385401086683271,0.00253438787124881
"6","BOSMINID","Late Summer",5.993514406,4.723842456,0.665946045111111,0.524871384,0.540433654022576,0.462090120349511,9,0.180144551340859,0.154030040116504
"7","BOSMINID","Summer",18.593270737,11.805334921,0.619775691233333,0.393511164033333,0.686750236766479,0.444884929648421,30,0.125382865349671,0.0812245038208464
"8","BYTH","Early Fall",1.871509244,0.011764785,0.133679231714286,0.000840341785714286,0.212271023894835,0.00122580810671367,14,0.0567318174681555,0.000327610996946613
"9","BYTH","Early Spring",0,0,0,0,0,0,8,0,0
"10","BYTH","Early Summer",0.247603887,0.00353,0.00798722216129032,0.000113870967741935,0.0131923041854486,0.000183684971610905,31,0.00236940777765659,3.29907948039561e-05
"11","BYTH","Late Fall",0.052107491,0.0004708,0.01302687275,0.0001177,0.014185642285163,0.000112445957389909,4,0.00709282114258148,5.62229786949547e-05
"12","BYTH","Late Spring",0.002414588,8.94e-05,7.5455875e-05,2.79375e-06,0.000426842887142916,1.58038365595193e-05,32,7.5455875e-05,2.79375e-06
"13","BYTH","Late Summer",0.807105434,0.006422431,0.0896783815555555,0.000713603444444444,0.142147620565883,0.000970863547042929,9,0.0473825401886277,0.000323621182347643
"14","BYTH","Summer",3.834616356,0.025422348,0.1278205452,0.0008474116,0.16019556476611,0.00101201830918467,30,0.0292475748115595,0.000184768418849561
"15","CALANOID","Early Fall",45.192135916,7.988739373,3.22800970828571,0.570624240928571,1.32116017199732,0.274830516268313,14,0.353094908333237,0.0734515450933022
"16","CALANOID","Early Spring",11.051332396,1.194184162,1.3814165495,0.14927302025,0.902249515381948,0.0691709342354804,8,0.318993375324426,0.0244556183294585
"17","CALANOID","Early Summer",93.303446697,20.996511116,3.00978860312903,0.677306810193548,1.90279659244019,0.40680029558909,31,0.341752356680739,0.0730634899538598
"18","CALANOID","Late Fall",15.845323676,4.41426047,3.961330919,1.1035651175,0.819436407245103,0.657967864297085,4,0.409718203622552,0.328983932148543
"19","CALANOID","Late Spring",37.220174172,11.120390172,1.163130442875,0.347512192875,0.7832886066317,0.248187216241311,32,0.138467171343859,0.0438737159020107
"20","CALANOID","Late Summer",39.072436241,5.596561941,4.34138180455556,0.621840215666667,2.1236223391167,0.318273826903707,9,0.7078741130389,0.106091275634569
"21","CALANOID","Summer",48.058983249,8.223570132,1.6019661083,0.2741190044,0.807464581680995,0.122526538657093,30,0.147422188591051,0.0223701830385063
"22","CERC","Early Fall",1.645794893,0.324331756,0.117556778071429,0.023166554,0.161230707782248,0.0362107948245,14,0.0430907191963028,0.00967774199543186
"23","CERC","Early Spring",0,0,0,0,0,0,8,0,0
"24","CERC","Early Summer",0.794870149,0.102004284,0.0256409725483871,0.00329046077419355,0.0390304110717318,0.00517592743039288,31,0.00701006876876757,0.000929624009404382
"25","CERC","Late Fall",0.679292887,0.11186857,0.16982322175,0.0279671425,0.0887475140845632,0.0116036105177149,4,0.0443737570422816,0.00580180525885746
"26","CERC","Late Spring",0.00148,0.000963,4.625e-05,3.009375e-05,0.000166440534765132,0.000106089542026627,32,2.94228076991851e-05,1.87541586450007e-05
"27","CERC","Late Summer",1.529503576,0.254337566,0.169944841777778,0.0282597295555556,0.169345936959724,0.029074253815535,9,0.0564486456532414,0.00969141793851165
"28","CERC","Summer",12.423984586,3.12575166,0.414132819533333,0.104191722,0.647971326021645,0.216017667860035,30,0.118302837292863,0.0394392498355333
"29","CYCLOPOID","Early Fall",39.255919842,23.852978776,2.80399427442857,1.70378419828571,1.77555670554974,1.18391822250607,14,0.474537490211157,0.316415454469723
"30","CYCLOPOID","Early Spring",29.271561384,7.635257811,3.658945173,0.954407226375,3.07890473510321,0.863086541226004,8,1.08855720840943,0.305147173025875
"31","CYCLOPOID","Early Summer",289.900778518,119.610787244,9.35163801670968,3.85841249174194,7.68845484684231,4.60778386097705,31,1.38088725488633,0.827582412024882
"32","CYCLOPOID","Late Fall",7.194762813,4.606668712,1.79869070325,1.151667178,1.53829550077891,1.18157925285947,4,0.769147750389457,0.590789626429736
"33","CYCLOPOID","Late Spring",120.475309251,19.7660769,3.76485341409375,0.617689903125,4.38392934210479,0.612641377854624,32,0.774976541511244,0.108300718179119
"34","CYCLOPOID","Late Summer",75.356144559,39.910915649,8.372904951,4.43454618322222,6.23353560628765,3.87447571092924,9,2.07784520209588,1.29149190364308
"35","CYCLOPOID","Summer",158.606193319,82.984002785,5.28687311063333,2.76613342616667,5.84931690739418,3.46304221211219,30,1.06793427205872,0.632262112388811
"36","DAPHNID","Early Fall",115.218612231,18.992316929,8.22990087364286,1.35659406635714,6.53998797705465,0.696542226686615,14,1.74788530883995,0.18615874054871
"37","DAPHNID","Early Spring",0.01364467,0.015753726,0.00170558375,0.00196921575,0.00171973659891124,0.00173484198529703,8,0.000608018705472412,0.000613359266045333
"38","DAPHNID","Early Summer",19.037435755,3.812831487,0.614110830806452,0.122994564096774,1.10060196899648,0.190740144518256,31,0.197673949052876,0.034257941264832
"39","DAPHNID","Late Fall",14.926501019,3.06154432,3.73162525475,0.76538608,0.870323118794005,0.274724036912438,4,0.435161559397002,0.137362018456219
"40","DAPHNID","Late Spring",0.458615605,0.223662981,0.01433173765625,0.00698946815625,0.0284166219771654,0.0125355939906502,32,0.00502339652461709,0.00221600087924753
"41","DAPHNID","Late Summer",40.727936796,8.492512353,4.52532631066667,0.943612483666667,3.12429762687417,0.525063625657363,9,1.04143254229139,0.175021208552454
"42","DAPHNID","Summer",75.304315321,18.161085942,2.51014384403333,0.6053695314,2.4688211090988,0.620104810695049,30,0.450743003966111,0.11321513094505
"43","LIMNO","Early Fall",140.242240142,2.310118837,10.0173028672857,0.165008488357143,8.68607512079728,0.144967801613927,14,2.32145122412889,0.038744274696652
"44","LIMNO","Early Spring",7.883151072,0.141969841,0.985393884,0.017746230125,0.791232957281744,0.0135644367135903,8,0.279743094796103,0.00479575259157772
"45","LIMNO","Early Summer",349.383402967,9.255160891,11.2704323537742,0.298553577129032,11.3392827463177,0.252383826842582,31,2.03659530241938,0.0453294734467351
"46","LIMNO","Late Fall",33.032212803,0.603746695,8.25805320075,0.15093667375,4.74334758630026,0.0874814353706602,4,2.37167379315013,0.0437407176853301
"47","LIMNO","Late Spring",95.448249182,6.590543643,2.9827577869375,0.20595448884375,2.30173664675175,0.168867204699494,32,0.406893397855936,0.0298517863907572
"48","LIMNO","Late Summer",110.030972469,1.820877453,12.2256636076667,0.202319717,9.27879973908122,0.149789570548912,9,3.09293324636041,0.0499298568496375
"49","LIMNO","Summer",221.289398818,3.967989225,7.37631329393333,0.1322663075,9.82702048095993,0.17379495343389,30,1.79416026349567,0.0317304721254338
"50","NDAP","Early Fall",6.426105006,3.055638514,0.459007500428571,0.218259893857143,0.475193610158661,0.24269133666636,14,0.127000834399852,0.0648619880388377
"51","NDAP","Early Spring",0,0,0,0,0,0,8,0,0
"52","NDAP","Early Summer",1.614057762,0.313968674,0.0520663794193548,0.0101280217419355,0.142001625910286,0.0186716298184261,31,0.0255042449099101,0.00335352371287056
"53","NDAP","Late Fall",0.775129737,0.327554247,0.19378243425,0.08188856175,0.13781470552107,0.056624802413857,4,0.0689073527605349,0.0283124012069285
"54","NDAP","Late Spring",0.005622442,0.009342443,0.0001757013125,0.00029195134375,0.000867854829180863,0.00135652210877351,32,0.00015341650869982,0.000239801495485806
"55","NDAP","Late Summer",13.155748182,3.625747319,1.461749798,0.402860813222222,2.38229692235189,0.573199512590077,9,0.794098974117297,0.191066504196692
"56","NDAP","Summer",13.284585452,5.654514466,0.442819515066667,0.188483815533333,0.74791363585115,0.357665247392055,30,0.13654972314046,0.0653004413440981
